iter	Passed	Remaining
442	2120	272
443	2125	268
444	2130	263
445	2134	258
446	2139	253
447	2143	248
448	2148	244
449	2153	239
450	2157	234
451	2162	229
452	2167	224
453	2172	220
454	2177	215
455	2181	210
456	2187	205
457	2192	201
458	2197	196
459	2203	191
460	2207	186
461	2212	181
462	2216	177
463	2221	172
464	2226	167
465	2231	162
466	2236	158
467	2240	153
468	2245	148
469	2250	143
470	2255	138
471	2259	134
472	2265	129
473	2270	124
474	2275	119
475	2279	114
476	2284	110
477	2289	105
478	2293	100
479	2298	95
480	2303	90
481	2307	86
482	2311	81
483	2316	76
484	2321	71
485	2326	67
486	2331	62
487	2336	57
488	2340	52
489	2345	47
490	2349	43
491	2354	38
492	2359	33
493	2363	28
494	2369	23
495	2373	19
496	2378	14
497	2383	9
498	2387	4
499	2392	0
