iter	Logloss
0	0.6414318835
1	0.5873216801
2	0.541993719
3	0.5041891314
4	0.4722932497
5	0.446203555
6	0.4173042664
7	0.3949958349
8	0.3784174664
9	0.3609933747
10	0.3419593074
11	0.3271336608
12	0.3129416371
13	0.3017083242
14	0.291102484
15	0.2807434574
16	0.2700773144
17	0.260558924
18	0.2508315734
19	0.2449497722
20	0.23886469
21	0.2324445164
22	0.2261911618
23	0.2198086872
24	0.2147729319
25	0.2097461269
26	0.2052047849
27	0.2023043814
28	0.1979983653
29	0.1944847608
30	0.1901622338
31	0.1871139513
32	0.1831691905
33	0.1799851089
34	0.1741249277
35	0.17111272
36	0.1683275315
37	0.1652076954
38	0.162414723
39	0.1591033237
40	0.1546151364
41	0.1517887395
42	0.1499049526
43	0.1485671564
44	0.1467306341
45	0.1447994044
46	0.1432563388
47	0.140458055
48	0.1384564694
49	0.1367992954
50	0.1358829413
51	0.1345077808
52	0.1333455377
53	0.1300308027
54	0.1283503653
55	0.1267989479
56	0.1252818115
57	0.1236890258
58	0.1217022188
59	0.1205712206
60	0.1195281023
61	0.1184271457
62	0.1177796942
63	0.1162345827
64	0.1144910188
65	0.1124773042
66	0.1116373345
67	0.1097926423
68	0.108545409
69	0.1072441756
70	0.1067029712
71	0.105899221
72	0.1043969926
73	0.1030327667
74	0.1021472144
75	0.0998177993
76	0.09900197155
77	0.09807321716
78	0.09748355597
79	0.0968784975
80	0.09579272895
81	0.09497158363
82	0.09442642663
83	0.09338079535
84	0.09299440553
85	0.0921436449
86	0.09147331294
87	0.09044137468
88	0.08942294038
89	0.08903690466
90	0.08827296287
91	0.08712438305
92	0.08661647799
93	0.08613658646
94	0.0854210625
95	0.08509962165
96	0.08418987889
97	0.08348958002
98	0.08297827727
99	0.08239242606
100	0.08175243271
101	0.08099371698
102	0.08057897154
103	0.0790530442
104	0.0786831265
105	0.07842250079
106	0.07798811525
107	0.07771533682
108	0.077275706
109	0.07667740282
110	0.07626921241
111	0.07576305583
112	0.0754277952
113	0.07511944437
114	0.07447120813
115	0.07392513709
116	0.07359944472
117	0.07332724578
118	0.07274348614
119	0.0723653016
120	0.07211830317
121	0.07184437101
122	0.0713766359
123	0.07088586956
124	0.06982105331
125	0.06953331655
126	0.06867450099
127	0.06810556182
128	0.06778312905
129	0.06758955547
130	0.06708694532
131	0.06652247573
132	0.06622959993
133	0.06602684948
134	0.0657121968
135	0.06553472527
136	0.06508048131
137	0.06471310499
138	0.06443882901
139	0.06412968359
140	0.06365392084
141	0.06295228247
142	0.06225131777
143	0.06190001404
144	0.06153792723
145	0.06128960348
146	0.06062825804
147	0.06034683307
148	0.0601714606
149	0.05971702574
150	0.05926116694
151	0.05892110536
152	0.0587035345
153	0.05857008585
154	0.05834811862
155	0.05816192322
156	0.05789231277
157	0.05761795572
158	0.05713543592
159	0.05691184425
160	0.05666188768
161	0.05644954145
162	0.05631654783
163	0.0561540196
164	0.05594800567
165	0.05559427613
166	0.05546027361
167	0.05528388936
168	0.05506514172
169	0.05484459131
170	0.05462835276
171	0.05438742737
172	0.05414963265
173	0.05396726336
174	0.05381480677
175	0.05366301366
176	0.05344936909
177	0.05326819179
178	0.05299710071
179	0.0526896683
180	0.0524644589
181	0.05218409663
182	0.05200050252
183	0.05172087008
184	0.0515550568
185	0.05144216473
186	0.05122621021
187	0.05092775094
188	0.05074628221
189	0.05060564346
190	0.05037042142
191	0.05024325593
192	0.05009244872
193	0.04994154403
194	0.04971929419
195	0.0494801843
196	0.04920809759
197	0.04907857217
198	0.04891432753
199	0.04882057358
200	0.04870916919
201	0.04856003391
202	0.04828118418
203	0.04807112579
204	0.04779191458
205	0.04761509928
206	0.04737724086
207	0.04714398234
208	0.04697371699
209	0.04663678947
