iter	Passed	Remaining
441	2181	286
442	2185	281
443	2190	276
444	2196	271
445	2200	266
446	2205	261
447	2210	256
448	2215	251
449	2219	246
450	2224	241
451	2229	236
452	2234	231
453	2238	226
454	2243	221
455	2248	216
456	2252	211
457	2257	207
458	2262	202
459	2267	197
460	2271	192
461	2276	187
462	2281	182
463	2285	177
464	2290	172
465	2296	167
466	2301	162
467	2305	157
468	2310	152
469	2316	147
470	2321	142
471	2325	137
472	2330	133
473	2336	128
474	2340	123
475	2344	118
476	2349	113
477	2354	108
478	2358	103
479	2363	98
480	2368	93
481	2372	88
482	2377	83
483	2382	78
484	2387	73
485	2391	68
486	2396	63
487	2401	59
488	2406	54
489	2410	49
490	2415	44
491	2420	39
492	2424	34
493	2430	29
494	2435	24
495	2439	19
496	2444	14
497	2449	9
498	2454	4
499	2458	0
