iter	Logloss
0	0.6039465943
1	0.5301102942
2	0.4820803381
3	0.4278800601
4	0.3991012518
5	0.3614627894
6	0.3357541193
7	0.3115826799
8	0.2900158158
9	0.2735334297
10	0.2623680827
11	0.2514837437
12	0.2449269461
13	0.2347147349
14	0.2267437142
15	0.2181179008
16	0.2105656548
17	0.205083574
18	0.1976125118
19	0.19054286
20	0.1872110556
21	0.1831683332
22	0.1784203335
23	0.1742105183
24	0.1690976022
25	0.1656754493
26	0.1630388819
27	0.1609507485
28	0.1581357504
29	0.1555454399
30	0.1526406733
31	0.1494417422
32	0.1461989843
33	0.1426301729
34	0.1408872187
35	0.1385502683
36	0.135783355
37	0.1331672624
38	0.1310404415
39	0.1298222343
40	0.1280037678
41	0.1267769984
42	0.1254035149
43	0.1234051535
44	0.122080741
45	0.1212582756
46	0.1203763478
47	0.119319334
48	0.1176013183
49	0.11644677
50	0.1154028328
51	0.1145801422
52	0.1115897025
53	0.1110031217
54	0.1096238767
55	0.108796283
56	0.1076627519
57	0.1064103052
58	0.1053437029
59	0.104704357
60	0.1028203788
61	0.1018240804
62	0.1003843387
63	0.09896268317
64	0.09806581647
65	0.09731194921
66	0.09657755415
67	0.0956760938
68	0.09516661538
69	0.09454279005
70	0.09366145579
71	0.09339416177
72	0.09239832478
73	0.09189342845
74	0.0914484431
75	0.09055920089
76	0.08995530353
77	0.08942648107
78	0.08884051936
79	0.08768659651
80	0.08686283807
81	0.08640185603
82	0.08583608532
83	0.0854490489
84	0.08501377155
85	0.0845441972
86	0.0839004003
87	0.08353713862
88	0.08299501412
89	0.08245702344
90	0.08176474067
91	0.08108544423
92	0.08046308139
93	0.07999133426
94	0.07949933696
95	0.07940297953
96	0.07903700939
97	0.07855265818
98	0.07739223515
99	0.07707452717
100	0.07657452565
101	0.07639572629
102	0.07597657085
103	0.07561436777
104	0.07535833427
105	0.0750018998
106	0.07434301313
107	0.07398472736
108	0.07364519682
109	0.07331032999
110	0.0729763586
111	0.07267977223
112	0.07216861535
113	0.07159048271
114	0.07127114457
115	0.07072890216
116	0.07043545073
117	0.07024691911
118	0.06973602514
119	0.06910026948
120	0.06857678701
121	0.06814709379
122	0.0679288656
123	0.06744494918
124	0.06715842463
125	0.0667952297
126	0.06640693937
127	0.06623649799
128	0.0658610181
129	0.06541324634
130	0.06507627422
131	0.06478157278
132	0.06452180228
133	0.06377868577
134	0.06354994658
135	0.06325627194
136	0.0629294051
137	0.0624384053
138	0.06211618449
139	0.0617946467
140	0.06117856115
141	0.06077418552
142	0.06030007452
143	0.06000462815
144	0.05963729246
145	0.05933886084
146	0.05921256228
147	0.05906570626
148	0.05872934801
149	0.05826055451
150	0.05810865788
151	0.05768899763
152	0.05709330046
153	0.05638291114
154	0.05628425267
155	0.05589786296
156	0.05573232415
157	0.05540965024
158	0.05496597348
159	0.05478448538
160	0.05447077338
161	0.05399202211
162	0.05364994928
163	0.05341636651
164	0.05310931906
165	0.0528376744
166	0.05266969627
167	0.052368156
168	0.05209203062
169	0.05179179373
170	0.05152820049
171	0.05119821457
172	0.05094653482
173	0.05078973267
174	0.05053842392
175	0.05025563393
176	0.0501371693
177	0.04992879684
178	0.04945096424
179	0.04894634514
180	0.04873161582
181	0.04852900079
182	0.04832573603
183	0.04807279468
184	0.04788382646
185	0.04780789087
186	0.04763554467
187	0.04726149554
188	0.04705757358
189	0.04670324905
190	0.04654308064
191	0.0463302792
192	0.04604946197
193	0.04582918829
194	0.0455010932
195	0.04532153347
196	0.04514352978
197	0.04508344315
198	0.0448852886
199	0.04469470302
200	0.04427142182
201	0.04404524496
202	0.04393802375
203	0.04383367175
204	0.0436356869
205	0.04331956016
206	0.04321644731
207	0.04305171512
208	0.04287200699
209	0.04266688208
210	0.04238460722
211	0.04232648574
212	0.04212451648
213	0.04189638263
214	0.04179124047
215	0.04167695151
216	0.04154756536
217	0.04142891419
218	0.04130716098
219	0.04118415349
220	0.04100657447
221	0.04083380596
222	0.04076167845
223	0.04069144604
224	0.04062484063
225	0.04053987736
226	0.04042675683
227	0.04019325874
228	0.04016153738
229	0.04005060474
230	0.03994947349
231	0.03952517777
232	0.03938126276
233	0.03913202468
234	0.03897282993
235	0.0389222268
236	0.03882385786
237	0.03872075886
238	0.03847383366
239	0.03835444779
240	0.03826186178
241	0.0381463465
242	0.03804511923
243	0.03793987597
244	0.03785282433
245	0.03758327297
246	0.0373352219
247	0.037000096
248	0.03673561156
249	0.03658554539
250	0.0365544409
251	0.03649725247
252	0.0363766173
253	0.03630275722
254	0.03621687106
255	0.03617695982
256	0.03601401268
257	0.03584941181
258	0.03569622553
259	0.03565786467
260	0.03541847703
261	0.03530933881
262	0.03517200444
263	0.03504548078
264	0.0348151088
265	0.03474409874
266	0.03454668838
267	0.03442785927
268	0.03428785119
269	0.03417282018
270	0.03403284304
271	0.03394571446
272	0.03381865185
273	0.03372739682
274	0.0336091989
275	0.03345997236
276	0.03339347575
277	0.03315330078
278	0.03306874965
279	0.03296857334
280	0.03283696055
281	0.03260919138
282	0.03245090672
283	0.03226881788
284	0.03220856755
285	0.03203383523
286	0.03195639336
287	0.03179885849
288	0.03171370641
289	0.0315391518
290	0.03147877423
291	0.03133356775
292	0.03122676575
293	0.03105152525
294	0.03100249026
295	0.03087614352
296	0.0308323232
297	0.03073342787
298	0.03069043232
299	0.03061396158
300	0.0305404567
301	0.03049980402
302	0.03042573961
303	0.03033114706
304	0.03023457966
305	0.03000779991
306	0.02993494996
307	0.02975822713
308	0.02963987219
309	0.02955304489
310	0.02951091212
311	0.02935546433
312	0.02917528964
313	0.02910135106
314	0.02890997214
315	0.028764064
316	0.02864618505
317	0.02844117864
318	0.02837929138
319	0.02828566099
320	0.02820715878
321	0.02812534142
322	0.02792665267
323	0.02786316331
324	0.02778391818
325	0.02770159991
326	0.0276172779
327	0.02752093249
328	0.02748563687
329	0.02743228024
330	0.02730453402
331	0.0272160456
332	0.02709888725
333	0.02704529183
334	0.02693371685
335	0.02680823308
336	0.02663815759
337	0.02651802885
338	0.02646156262
339	0.02639712914
340	0.02622643624
341	0.026194786
342	0.02613683559
343	0.02604039915
344	0.02598108667
345	0.02584831111
346	0.02576956866
347	0.02556112031
348	0.02544280876
349	0.02539345909
350	0.02532796875
351	0.02524284808
352	0.02516054519
353	0.02513240052
354	0.02504527182
